period,item,value,unit,point_in_time,note
2026H1,货币资金,1152353413.59,CNY,期末,2026-06-30;其中定期存款1040000000元及应计利息8274379.75元受限
2026H1,交易性金融资产,85255704.05,CNY,期末,
2026H1,应收账款,195987137.58,CNY,期末,
2026H1,应收款项融资,2485595.54,CNY,期末,
2026H1,预付款项,45873176.90,CNY,期末,
2026H1,其他应收款,6142718.38,CNY,期末,
2026H1,存货,330889455.42,CNY,期末,
2026H1,一年内到期的非流动资产,314746786.54,CNY,期末,定期存款/大额存单重分类
2026H1,其他流动资产,13131801.23,CNY,期末,
2026H1,流动资产合计,2146865789.23,CNY,期末,
2026H1,其他权益工具投资,8856972.95,CNY,期末,
2026H1,固定资产,283799672.84,CNY,期末,
2026H1,在建工程,5052926.09,CNY,期末,
2026H1,无形资产,7497727.97,CNY,期末,
2026H1,递延所得税资产,4766127.71,CNY,期末,
2026H1,其他非流动资产,8579801.80,CNY,期末,
2026H1,非流动资产合计,318553229.36,CNY,期末,
2026H1,资产总计,2465419018.59,CNY,期末,
2026H1,应付账款,86688478.96,CNY,期末,
2026H1,合同负债,44936711.03,CNY,期末,客户预付
2026H1,应付职工薪酬,8276285.30,CNY,期末,
2026H1,应交税费,20011895.03,CNY,期末,
2026H1,其他应付款,3007105.83,CNY,期末,
2026H1,其他流动负债,1073947.43,CNY,期末,
2026H1,流动负债合计,163994423.58,CNY,期末,
2026H1,递延收益,10444499.94,CNY,期末,
2026H1,递延所得税负债,20248038.25,CNY,期末,
2026H1,非流动负债合计,30692538.19,CNY,期末,
2026H1,负债合计,194686961.77,CNY,期末,
2026H1,股本,357682509.00,CNY,期末,
2026H1,资本公积,687558005.89,CNY,期末,
2026H1,其他综合收益,-1068081.71,CNY,期末,
2026H1,盈余公积,381384702.00,CNY,期末,
2026H1,未分配利润,845174921.64,CNY,期末,
2026H1,归属于母公司所有者权益合计,2270732056.82,CNY,期末,
2026H1,少数股东权益,0,CNY,期末,
2026H1,所有者权益合计,2270732056.82,CNY,期末,
2026H1,负债和所有者权益总计,2465419018.59,CNY,期末,
2026H1,资产负债率,7.90,pct,期末,派生计算=负债合计/资产总计
2026H1,货币资金,1169856599.27,CNY,期初,2025-12-31(2025年年报口径)
2026H1,交易性金融资产,218979083.79,CNY,期初,
2026H1,应收账款,155813333.23,CNY,期初,
2026H1,应收款项融资,5819891.02,CNY,期初,
2026H1,预付款项,25674019.62,CNY,期初,
2026H1,其他应收款,1985274.82,CNY,期初,
2026H1,存货,283184645.96,CNY,期初,
2026H1,一年内到期的非流动资产,109072916.67,CNY,期初,
2026H1,其他流动资产,6162116.27,CNY,期初,
2026H1,流动资产合计,1976547880.65,CNY,期初,
2026H1,其他权益工具投资,9349027.00,CNY,期初,
2026H1,固定资产,296736036.00,CNY,期初,
2026H1,在建工程,2844506.45,CNY,期初,
2026H1,无形资产,7650964.37,CNY,期初,
2026H1,递延所得税资产,4688570.49,CNY,期初,
2026H1,其他非流动资产,316115355.90,CNY,期初,大额存单等
2026H1,非流动资产合计,637384460.21,CNY,期初,
2026H1,资产总计,2613932340.86,CNY,期初,
2026H1,应付账款,78066846.21,CNY,期初,
2026H1,合同负债,44966815.39,CNY,期初,
2026H1,应付职工薪酬,13359084.92,CNY,期初,
2026H1,应交税费,23434764.34,CNY,期初,
2026H1,其他应付款,3991311.00,CNY,期初,
2026H1,其他流动负债,1882610.14,CNY,期初,
2026H1,流动负债合计,165701432.00,CNY,期初,
2026H1,递延收益,11552160.00,CNY,期初,
2026H1,递延所得税负债,20792731.88,CNY,期初,
2026H1,非流动负债合计,32344891.88,CNY,期初,
2026H1,负债合计,198046323.88,CNY,期初,
2026H1,股本,357682509.00,CNY,期初,
2026H1,资本公积,687558005.89,CNY,期初,
2026H1,其他综合收益,-1018299.94,CNY,期初,
2026H1,盈余公积,381384702.00,CNY,期初,
2026H1,未分配利润,990279100.03,CNY,期初,
2026H1,归属于母公司所有者权益合计,2415886016.98,CNY,期初,
2026H1,少数股东权益,0,CNY,期初,
2026H1,所有者权益合计,2415886016.98,CNY,期初,
2026H1,负债和所有者权益总计,2613932340.86,CNY,期初,
2026H1,资产负债率,7.58,pct,期初,派生计算
