period,item,value,unit,note
2026H1,销售商品提供劳务收到的现金,901419319.71,CNY,2026年半年度报告-合并现金流量表
2026H1,收到的税费返还,23713131.98,CNY,出口退税
2026H1,收到其他与经营活动有关的现金,1124657.37,CNY,
2026H1,经营活动现金流入小计,926257109.06,CNY,
2026H1,购买商品接受劳务支付的现金,694769562.24,CNY,OCF下滑主因:原材料采购+备货
2026H1,支付给职工以及为职工支付的现金,58267040.97,CNY,
2026H1,支付的各项税费,54994852.25,CNY,
2026H1,支付其他与经营活动有关的现金,19677240.90,CNY,
2026H1,经营活动现金流出小计,827708696.36,CNY,
2026H1,经营活动产生的现金流量净额,98548412.70,CNY,
2026H1,收回投资收到的现金,1271560000.00,CNY,存单/理财到期
2026H1,取得投资收益收到的现金,12681864.49,CNY,
2026H1,处置固定资产无形资产和其他长期资产收回的现金净额,100546.83,CNY,
2026H1,投资活动现金流入小计,1284342411.32,CNY,
2026H1,购建固定资产无形资产和其他长期资产支付的现金,10313567.09,CNY,Capex
2026H1,投资支付的现金,1095000000.00,CNY,存单/理财投放
2026H1,投资活动现金流出小计,1105313567.09,CNY,
2026H1,投资活动产生的现金流量净额,179028844.23,CNY,
2026H1,分配股利利润或偿付利息支付的现金,357682509.00,CNY,2025年度分红10元/10股
2026H1,筹资活动现金流出小计,357682509.00,CNY,
2026H1,筹资活动产生的现金流量净额,-357682509.00,CNY,
2026H1,汇率变动对现金及现金等价物的影响,-112266.41,CNY,
2026H1,现金及现金等价物净增加额,-80217518.48,CNY,
2026H1,期初现金及现金等价物余额,184296552.32,CNY,
2026H1,期末现金及现金等价物余额,104079033.84,CNY,
2026H1,OCF净利润比,46.4,pct,派生计算=经营净现金流/归母净利润
2025H1,销售商品提供劳务收到的现金,817921224.34,CNY,2025年半年度报告(上年同期)
2025H1,收到的税费返还,22034398.84,CNY,
2025H1,收到其他与经营活动有关的现金,9052742.08,CNY,
2025H1,经营活动现金流入小计,849008365.26,CNY,
2025H1,购买商品接受劳务支付的现金,581314186.70,CNY,
2025H1,支付给职工以及为职工支付的现金,52042446.00,CNY,
2025H1,支付的各项税费,54324260.60,CNY,
2025H1,支付其他与经营活动有关的现金,23095095.93,CNY,
2025H1,经营活动现金流出小计,710775989.23,CNY,
2025H1,经营活动产生的现金流量净额,138232376.03,CNY,
2025H1,收回投资收到的现金,1081584049.20,CNY,
2025H1,取得投资收益收到的现金,14440312.42,CNY,
2025H1,处置固定资产无形资产和其他长期资产收回的现金净额,195549.00,CNY,
2025H1,投资活动现金流入小计,1096219910.62,CNY,
2025H1,购建固定资产无形资产和其他长期资产支付的现金,12093071.95,CNY,
2025H1,投资支付的现金,898000000.00,CNY,
2025H1,投资活动现金流出小计,910093071.95,CNY,
2025H1,投资活动产生的现金流量净额,186126838.67,CNY,
2025H1,分配股利利润或偿付利息支付的现金,357682509.00,CNY,
2025H1,筹资活动现金流出小计,357682509.00,CNY,
2025H1,筹资活动产生的现金流量净额,-357682509.00,CNY,
2025H1,汇率变动对现金及现金等价物的影响,-52906.62,CNY,
2025H1,现金及现金等价物净增加额,-33376200.92,CNY,
2025H1,期初现金及现金等价物余额,123329567.85,CNY,
2025H1,期末现金及现金等价物余额,89953366.93,CNY,
2025H1,OCF净利润比,59.0,pct,派生计算
