period,item,value,unit,note
2026H1,营业收入,923604897.50,CNY,2026年半年度报告-合并利润表
2026H1,营业成本,625025033.38,CNY,
2026H1,税金及附加,6512325.01,CNY,
2026H1,销售费用,11808088.09,CNY,
2026H1,管理费用,12009093.33,CNY,
2026H1,研发费用,28423954.73,CNY,
2026H1,财务费用,-4853397.95,CNY,主要系汇率变动所致
2026H1,其中:利息收入,11638133.97,CNY,
2026H1,其他收益,3063707.92,CNY,政府补助
2026H1,投资收益,236178.85,CNY,
2026H1,公允价值变动收益,459805.90,CNY,交易性金融资产理财收益
2026H1,信用减值损失,-2529719.56,CNY,
2026H1,资产减值损失,-147939.31,CNY,
2026H1,营业利润,245761834.71,CNY,
2026H1,营业外收入,341265.22,CNY,
2026H1,营业外支出,457578.22,CNY,
2026H1,利润总额,245645521.71,CNY,
2026H1,所得税费用,33067191.10,CNY,实际税率约13.5%
2026H1,净利润,212578330.61,CNY,
2026H1,归属于母公司股东的净利润,212578330.61,CNY,无少数股东
2026H1,少数股东损益,0,CNY,
2026H1,基本每股收益,0.59,CNY_per_share,
2026H1,稀释每股收益,0.59,CNY_per_share,
2026H1,综合收益总额,212528548.84,CNY,
2026H1,毛利率,32.33,pct,派生计算=(营业收入-营业成本)/营业收入
2025H1,营业收入,840396545.20,CNY,2025年半年度报告-合并利润表(上年同期)
2025H1,营业成本,533741437.52,CNY,
2025H1,税金及附加,5906275.94,CNY,
2025H1,销售费用,12115905.13,CNY,
2025H1,管理费用,14283545.30,CNY,
2025H1,研发费用,25393674.74,CNY,
2025H1,财务费用,-11963768.53,CNY,主要系汇率变动所致
2025H1,其中:利息收入,9133820.10,CNY,
2025H1,其他收益,3198857.28,CNY,
2025H1,投资收益,555727.45,CNY,
2025H1,公允价值变动收益,9177171.08,CNY,
2025H1,信用减值损失,-2360548.05,CNY,
2025H1,资产减值损失,-341881.53,CNY,
2025H1,营业利润,271148801.33,CNY,
2025H1,营业外收入,349271.93,CNY,
2025H1,营业外支出,287031.69,CNY,
2025H1,利润总额,271211041.57,CNY,
2025H1,所得税费用,36983651.46,CNY,实际税率约13.6%
2025H1,净利润,234227390.11,CNY,
2025H1,归属于母公司股东的净利润,234227390.11,CNY,
2025H1,少数股东损益,0,CNY,
2025H1,基本每股收益,0.65,CNY_per_share,
2025H1,稀释每股收益,0.65,CNY_per_share,
2025H1,综合收益总额,234183460.04,CNY,
2025H1,毛利率,36.49,pct,派生计算
