period,dimension,category,revenue,revenue_pct,gross_margin_pct,yoy_pct,note
2026H1,分产品,不锈钢泵,314066225.64,34.00,31.28,9.70,毛利率同比-3.98ppt
2026H1,分产品,通用泵,136794804.30,14.81,24.65,10.70,毛利率同比-2.51ppt
2026H1,分产品,塑料卫浴泵,443752249.83,48.05,31.94,9.54,毛利率同比-5.26ppt
2026H1,分产品,其他,28991617.73,3.14,,14.04,
2026H1,分地区,国外销售,469167067.58,50.80,34.33,3.28,毛利率同比-5.53ppt
2026H1,分地区,国内销售,454437829.92,49.20,30.26,17.69,毛利率同比-2.27ppt
2025H1,分产品,不锈钢泵,286308005.98,34.07,35.26,,毛利率=2026H1值31.28+3.98
2025H1,分产品,通用泵,123574177.39,14.70,27.16,,毛利率=2026H1值24.65+2.51
2025H1,分产品,塑料卫浴泵,405092257.17,48.20,37.20,,毛利率=2026H1值31.94+5.26
2025H1,分产品,其他,25422104.66,3.03,,,
2025H1,分地区,国外销售,454271083.09,54.05,39.86,,毛利率=2026H1值34.33+5.53
2025H1,分地区,国内销售,386125462.11,45.95,32.53,,毛利率=2026H1值30.26+2.27
