period,refYear,refMonth,qty,altQty,netWgt,fobvalue,primaryValue,qtyUnitCode,altQtyUnitCode,isQtyEstimated,isReported,note
202401,2024,1,55983839.483,55983773.0,55983839.483,167573549.0,167573549.0,8,8,True,False,
202402,2024,2,44783169.902,44781715.0,44783169.902,131619089.0,131619089.0,8,8,True,False,
202403,2024,3,51891049.0,51891049.0,51891049.0,145668516.0,145668516.0,8,8,False,False,
202404,2024,4,48778407.0,48778407.0,48778407.0,143733666.0,143733666.0,8,8,False,False,
202405,2024,5,52201684.0,52201684.0,52201684.0,156579465.0,156579465.0,8,8,False,False,
202406,2024,6,52197922.0,52197922.0,52197922.0,159341364.0,159341364.0,8,8,False,False,
202407,2024,7,65415206.046,65415159.0,65415206.046,203005398.0,203005398.0,8,8,True,False,
202408,2024,8,53913488.0,53913488.0,53913488.0,158575313.0,158575313.0,8,8,False,False,
202409,2024,9,51386957.0,51386957.0,51386957.0,143948663.0,143948663.0,8,8,False,False,
202410,2024,10,51673408.999,51673048.0,51673408.999,147291104.0,147291104.0,8,8,True,False,
202411,2024,11,52517708.0,52517708.0,52517708.0,168092903.0,168092903.0,8,8,False,False,
202412,2024,12,54653241.0,54653241.0,54653241.0,159150889.0,159150889.0,8,8,False,False,
202501,,,,,,,,,,,,no_data
202502,,,,,,,,,,,,no_data
202503,,,,,,,,,,,,no_data
202504,,,,,,,,,,,,no_data
202505,,,,,,,,,,,,no_data
202506,,,,,,,,,,,,no_data
202507,,,,,,,,,,,,no_data
202508,,,,,,,,,,,,no_data
202509,,,,,,,,,,,,no_data
202510,,,,,,,,,,,,no_data
202511,,,,,,,,,,,,no_data
202512,,,,,,,,,,,,no_data
202601,,,,,,,,,,,,no_data
202602,,,,,,,,,,,,no_data
202603,,,,,,,,,,,,no_data
202604,,,,,,,,,,,,no_data
202605,,,,,,,,,,,,no_data
202606,,,,,,,,,,,,no_data
