month,period_bin,avg_price_cny_per_ton
2025-08,01-05,26500.00
2025-08,06-10,26633.33
2025-08,11-15,26700.00
2025-08,16-20,26700.00
2025-08,21-25,26700.00
2025-08,26-31,27000.00
2025-09,01-05,27375.00
2025-09,06-10,27500.00
2025-09,11-15,27600.00
2025-09,16-20,27800.00
2025-09,21-25,27800.00
2025-09,26-31,27800.00
2025-10,01-05,
2025-10,06-10,27800.00
2025-10,11-15,27800.00
2025-10,16-20,27800.00
2025-10,21-25,27800.00
2025-10,26-31,27620.00
2025-11,01-05,27500.00
2025-11,06-10,27500.00
2025-11,11-15,27500.00
2025-11,16-20,27375.00
2025-11,21-25,27000.00
2025-11,26-31,27000.00
2025-12,01-05,27000.00
2025-12,06-10,26500.00
2025-12,11-15,26333.33
2025-12,16-20,26000.00
2025-12,21-25,25500.00
2025-12,26-31,25125.00
2026-01,01-05,25000.00
2026-01,06-10,24500.00
2026-01,11-15,
2026-01,16-20,
2026-01,21-25,
2026-01,26-31,24000.00
2026-02,01-05,24000.00
2026-02,06-10,24000.00
2026-02,11-15,24000.00
2026-02,16-20,
2026-02,21-25,24000.00
2026-02,26-31,24000.00
2026-03,01-05,
2026-03,06-10,24700.00
2026-03,11-15,24700.00
2026-03,16-20,28000.00
2026-03,21-25,28000.00
2026-03,26-31,30000.00
2026-04,01-05,31500.00
2026-04,06-10,33000.00
2026-04,11-15,35000.00
2026-04,16-20,35000.00
2026-04,21-25,35000.00
2026-04,26-31,35000.00
2026-05,01-05,
2026-05,06-10,36500.00
2026-05,11-15,35000.00
2026-05,16-20,
2026-05,21-25,38000.00
2026-05,26-31,
2026-06,01-05,31000.00
2026-06,06-10,
2026-06,11-15,
2026-06,16-20,31500.00
2026-06,21-25,28300.00
2026-06,26-31,
2026-07,01-05,29000.00
2026-07,06-10,
2026-07,11-15,26500.00
2026-07,16-20,
2026-07,21-25,27000.00
2026-07,26-31,
