period,item,value,unit,point_in_time,note
2026H1,货币资金,5206941521.1,CNY,期末,2026-06-30
2026H1,交易性金融资产,130216002.15,CNY,期末,
2026H1,应收票据,213386563.1,CNY,期末,
2026H1,应收账款,7423441027.96,CNY,期末,
2026H1,应收款项融资,1113750760.12,CNY,期末,
2026H1,预付款项,550058546.99,CNY,期末,
2026H1,其他应收款,195590781.01,CNY,期末,
2026H1,存货,8184553480.07,CNY,期末,
2026H1,其他流动资产,894041810.0,CNY,期末,
2026H1,流动资产合计,23936910036.53,CNY,期末,
2026H1,长期股权投资,331305974.09,CNY,期末,
2026H1,固定资产,17233941251.8,CNY,期末,
2026H1,在建工程,2827052782.68,CNY,期末,
2026H1,使用权资产,238209791.11,CNY,期末,
2026H1,无形资产,3780441598.92,CNY,期末,
2026H1,商誉,312340245.63,CNY,期末,
2026H1,长期待摊费用,918609348.5,CNY,期末,
2026H1,递延所得税资产,575445159.16,CNY,期末,
2026H1,其他非流动资产,958839365.86,CNY,期末,
2026H1,非流动资产合计,27421872530.86,CNY,期末,
2026H1,资产总计,51358782567.39,CNY,期末,
2026H1,短期借款,6991362920.55,CNY,期末,
2026H1,应付票据,3190967594.3,CNY,期末,
2026H1,应付账款,6323417435.29,CNY,期末,
2026H1,合同负债,360729651.0,CNY,期末,
2026H1,应付职工薪酬,416574817.51,CNY,期末,
2026H1,应交税费,575190587.55,CNY,期末,
2026H1,一年内到期的非流动负债,1708389160.71,CNY,期末,
2026H1,流动负债合计,20365749793.92,CNY,期末,
2026H1,长期借款,5782322078.92,CNY,期末,
2026H1,租赁负债,191018468.47,CNY,期末,
2026H1,递延收益,244437124.53,CNY,期末,
2026H1,递延所得税负债,357120843.56,CNY,期末,
2026H1,非流动负债合计,6574898515.48,CNY,期末,
2026H1,负债合计,26940648309.4,CNY,期末,
2026H1,其他综合收益,-686935509.79,CNY,期末,汇率波动
2026H1,未分配利润,14611486009.04,CNY,期末,
2026H1,归属于母公司股东权益合计,22662445608.45,CNY,期末,
2026H1,少数股东权益,1755688649.54,CNY,期末,
2026H1,所有者权益合计,24418134257.99,CNY,期末,
2026H1,货币资金,4579350244.4,CNY,期初,2025-12-31
2026H1,交易性金融资产,136879077.28,CNY,期初,
2026H1,应收票据,118249773.78,CNY,期初,
2026H1,应收账款,6146813876.52,CNY,期初,
2026H1,应收款项融资,1031270834.79,CNY,期初,
2026H1,预付款项,414600246.07,CNY,期初,
2026H1,其他应收款,138435220.76,CNY,期初,
2026H1,存货,7139237400.97,CNY,期初,
2026H1,其他流动资产,977171076.02,CNY,期初,
2026H1,流动资产合计,20701283150.39,CNY,期初,
2026H1,长期股权投资,325070795.43,CNY,期初,
2026H1,固定资产,16558431351.8,CNY,期初,
2026H1,在建工程,2915434496.2,CNY,期初,
2026H1,使用权资产,234547729.1,CNY,期初,
2026H1,无形资产,3429413680.46,CNY,期初,
2026H1,商誉,327791746.72,CNY,期初,
2026H1,长期待摊费用,1007609811.58,CNY,期初,
2026H1,递延所得税资产,511299666.61,CNY,期初,
2026H1,其他非流动资产,509958705.89,CNY,期初,
2026H1,非流动资产合计,26069118335.22,CNY,期初,
2026H1,资产总计,46770401485.61,CNY,期初,
2026H1,短期借款,5957332669.92,CNY,期初,
2026H1,应付票据,2750702989.62,CNY,期初,
2026H1,应付账款,5996227923.15,CNY,期初,
2026H1,合同负债,275364115.34,CNY,期初,
2026H1,应付职工薪酬,590486132.07,CNY,期初,
2026H1,应交税费,453685409.41,CNY,期初,
2026H1,一年内到期的非流动负债,1553740915.39,CNY,期初,
2026H1,流动负债合计,18364718475.55,CNY,期初,
2026H1,长期借款,4346901214.16,CNY,期初,
2026H1,租赁负债,196195885.43,CNY,期初,
2026H1,递延收益,224039037.26,CNY,期初,
2026H1,递延所得税负债,281416454.22,CNY,期初,
2026H1,非流动负债合计,5048552591.07,CNY,期初,
2026H1,负债合计,23413271066.62,CNY,期初,
2026H1,其他综合收益,-157537077.13,CNY,期初,
2026H1,未分配利润,13043494368.24,CNY,期初,
2026H1,归属于母公司股东权益合计,21614619686.05,CNY,期初,
2026H1,少数股东权益,1742510732.94,CNY,期初,
2026H1,所有者权益合计,23357130418.99,CNY,期初,
2026H1,有息负债,14673092628.65,CNY,派生计算,短期借款+一年内到期非流动负债+长期借款+租赁负债;2025末=12054170684.90
2026H1,净负债,9466151107.55,CNY,派生计算,有息负债-货币资金;2025末=7474820440.50
2026H1,资产负债率,52.46,pct,派生计算,负债合计/资产总计;2025末50.06%
2026H1,流动比率,1.175,pct,派生计算,流动资产合计/流动负债合计
2026H1,速动比率,0.773,pct,派生计算,(流动资产合计-存货)/流动负债合计
2026H1,净负债/归属于母公司股东权益,41.8,pct,派生计算,
