period,item,value,unit,note
2026H1,销售商品提供劳务收到的现金,17488258653.12,CNY,2026年半年度报告-合并现金流量表
2026H1,收到的税费返还,654221597.45,CNY,出口退税
2026H1,经营活动现金流入小计,18305004131.09,CNY,
2026H1,购买商品接受劳务支付的现金,14134521823.03,CNY,
2026H1,支付给职工以及为职工支付的现金,2012631410.55,CNY,
2026H1,支付的各项税费,445119739.38,CNY,同比+34.4%
2026H1,经营活动现金流出小计,17272199367.5,CNY,
2026H1,经营活动产生的现金流量净额,1032804763.59,CNY,同比+16.89%
2026H1,购建固定资产无形资产和其他长期资产支付的现金,2598304756.31,CNY,资本开支;同比+48.5%
2026H1,投资活动现金流入小计,965491520.7,CNY,
2026H1,投资活动现金流出小计,3488104756.31,CNY,
2026H1,投资活动产生的现金流量净额,-2522613235.61,CNY,
2026H1,取得借款收到的现金,9210983289.52,CNY,
2026H1,偿还债务支付的现金,6381990834.59,CNY,
2026H1,分配股利利润或偿付利息支付的现金,799509401.29,CNY,
2026H1,筹资活动产生的现金流量净额,1933678287.36,CNY,同比+35.33%
2026H1,汇率变动对现金及现金等价物的影响,-123078402.75,CNY,
2026H1,现金及现金等价物净增加额,320791412.59,CNY,
2026H1,期末现金及现金等价物余额,4570867020.57,CNY,
2026H1,资本开支,2598304756.31,CNY,派生计算=购建固定资产等支付的现金
2026H1,自由现金流,-1565499992.72,CNY,派生计算=经营活动现金流净额-资本开支
2026H1,经营活动现金流净额/归属于母公司股东的净利润,0.478,pct,派生计算;现金含量偏低主因营运资本占用
2026H1,净营运资本占用增加,1732000000.0,CNY,派生计算≈应收+14.54亿+存货+10.45亿-应付+7.67亿;近似值
2025H1,销售商品提供劳务收到的现金,15445982563.34,CNY,2026年半年度报告-上年同期列
2025H1,收到的税费返还,568870980.54,CNY,
2025H1,经营活动现金流入小计,16117719525.21,CNY,
2025H1,购买商品接受劳务支付的现金,12602432103.02,CNY,
2025H1,支付给职工以及为职工支付的现金,1735676188.48,CNY,
2025H1,支付的各项税费,331140174.77,CNY,
2025H1,经营活动现金流出小计,15234171978.89,CNY,
2025H1,经营活动产生的现金流量净额,883547546.32,CNY,
2025H1,购建固定资产无形资产和其他长期资产支付的现金,1749645825.22,CNY,
2025H1,投资活动现金流入小计,1362440354.07,CNY,
2025H1,投资活动现金流出小计,3231910265.89,CNY,
2025H1,投资活动产生的现金流量净额,-1869469911.82,CNY,
2025H1,取得借款收到的现金,8519047948.6,CNY,
2025H1,偿还债务支付的现金,6309425484.6,CNY,
2025H1,分配股利利润或偿付利息支付的现金,990377402.11,CNY,
2025H1,筹资活动产生的现金流量净额,1428834580.86,CNY,
2025H1,汇率变动对现金及现金等价物的影响,22867164.6,CNY,
2025H1,现金及现金等价物净增加额,465779379.96,CNY,
2025H1,期末现金及现金等价物余额,5621601004.0,CNY,
2025H1,资本开支,1749645825.22,CNY,派生计算
2025H1,自由现金流,-866098278.9,CNY,派生计算
2025H1,经营活动现金流净额/归属于母公司股东的净利润,0.483,pct,派生计算
