period,item,value,unit,note
2026H1,营业收入,20027010258.02,CNY,2026年半年度报告-合并利润表
2026H1,营业成本,14622669845.15,CNY,
2026H1,税金及附加,69605015.26,CNY,
2026H1,销售费用,954446828.44,CNY,
2026H1,管理费用,656658942.36,CNY,
2026H1,研发费用,590275131.07,CNY,
2026H1,财务费用,457226459.81,CNY,同比+429.74%;其中汇兑净损失约2.56亿
2026H1,其中:利息费用,229372450.53,CNY,
2026H1,其中:利息收入,28444056.43,CNY,
2026H1,其他收益,41082614.28,CNY,
2026H1,投资收益,32207592.66,CNY,
2026H1,公允价值变动收益,44355074.62,CNY,套保合约;上年同期为-29927571.34
2026H1,信用减值损失,-12390028.44,CNY,
2026H1,资产减值损失,-230049727.78,CNY,
2026H1,资产处置收益,1288895.46,CNY,
2026H1,营业利润,2552622456.73,CNY,
2026H1,营业外收入,35303849.78,CNY,
2026H1,营业外支出,13831476.83,CNY,
2026H1,利润总额,2574094829.68,CNY,
2026H1,所得税费用,377213222.61,CNY,
2026H1,净利润,2196881607.07,CNY,
2026H1,其中:归属于母公司股东的净利润,2159849687.42,CNY,
2026H1,其中:少数股东损益,37031919.65,CNY,
2026H1,其他综合收益的税后净额,-553779263.82,CNY,外币财务报表折算差额(人民币升值)
2026H1,基本每股收益,0.66,CNY_per_share,
2026H1,稀释每股收益,0.66,CNY_per_share,
2026H1,扣非基本每股收益,0.63,CNY_per_share,
2026H1,扣除非经常性损益后的归属于母公司股东的净利润,2057780103.47,CNY,
2026H1,非经常性损益合计,102069583.95,CNY,占归母净利4.7%
2026H1,毛利率,26.99,pct,派生计算=(营业收入-营业成本)/营业收入
2026H1,归母净利率,10.78,pct,派生计算=归母净利润/营业收入
2026H1,期间费用率,13.28,pct,派生计算=(销售+管理+研发+财务费用)/营业收入
2026H1,有效所得税率,14.65,pct,派生计算=所得税费用/利润总额;含GIoBE补足税
2026H1,加权平均净资产收益率,9.63,pct,
2026H1,扣非加权平均净资产收益率,9.17,pct,
2025H1,营业收入,17586679696.39,CNY,2026年半年度报告-上年同期列
2025H1,营业成本,13272065893.51,CNY,
2025H1,税金及附加,61705566.59,CNY,
2025H1,销售费用,825876428.18,CNY,
2025H1,管理费用,514566348.72,CNY,
2025H1,研发费用,537377703.36,CNY,
2025H1,财务费用,86311316.75,CNY,其中汇兑净收益约1.19亿
2025H1,其中:利息费用,243769248.25,CNY,
2025H1,其中:利息收入,38345169.21,CNY,
2025H1,其他收益,32601289.36,CNY,
2025H1,投资收益,23790095.37,CNY,
2025H1,公允价值变动收益,-29927571.34,CNY,
2025H1,信用减值损失,-11329260.76,CNY,
2025H1,资产减值损失,-153993304.7,CNY,
2025H1,资产处置收益,-130381.54,CNY,
2025H1,营业利润,2149787305.67,CNY,
2025H1,营业外收入,5439467.88,CNY,
2025H1,营业外支出,7019859.37,CNY,
2025H1,利润总额,2148206914.18,CNY,
2025H1,所得税费用,265610010.89,CNY,
2025H1,净利润,1882596903.29,CNY,
2025H1,其中:归属于母公司股东的净利润,1830902423.55,CNY,
2025H1,其中:少数股东损益,51694479.74,CNY,
2025H1,其他综合收益的税后净额,-71765361.45,CNY,
2025H1,基本每股收益,0.56,CNY_per_share,
2025H1,稀释每股收益,0.56,CNY_per_share,
2025H1,扣非基本每股收益,0.56,CNY_per_share,
2025H1,扣除非经常性损益后的归属于母公司股东的净利润,1825088838.76,CNY,
2025H1,毛利率,24.53,pct,派生计算
2025H1,归母净利率,10.41,pct,派生计算
2025H1,期间费用率,11.17,pct,派生计算
2025H1,有效所得税率,12.36,pct,派生计算
2025H1,加权平均净资产收益率,8.97,pct,
2025H1,扣非加权平均净资产收益率,8.95,pct,
